|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset   |
|00036376004|2008-11-11 02:44:00|     0.00000|     0.00000|     0.00000|     0.00000|   643.77100|     0.00000|    3.04100|  639.28600|0.299 (4C +71.07)|
|00036376033|2015-04-16 01:05:58|   356.08700|   356.09900|   356.08700|   716.08100|  1429.08300|  1281.11000|   10.05800| 4586.61800|0.431 (4C +71.07)|
|00036376011|2011-10-07 09:43:00|    98.54600|    98.55700|    98.54600|   197.55500|  1899.32800|   592.29100|    0.09100| 2981.49500|0.432 (4C +71.07)|
|00036376016|2011-11-06 00:13:00|     0.00000|     0.00000|     0.00000|  2113.24600|     0.00000|     0.00000|    4.01000| 2108.63000|0.440 (4C +71.07)|
|00036376075|2016-10-03 12:14:58|   390.89600|   390.86300|   390.98500|   782.81900|  1566.89500|  1136.73300|    0.14700| 4786.19500|0.445 (4C +71.07)|
|00036376014|2011-11-04 03:18:00|     0.00000|     0.00000|     0.00000|     0.00000|  1609.52700|   465.84300|   11.09600| 2065.98600|0.455 (4C +71.07)|
|00036376046|2015-10-30 01:13:59|   159.53600|   159.54700|    79.77900|   319.53500|   506.30000|  1722.55700|   12.55200| 2950.06900|0.473 (4C +71.07)|
|00035385001|2006-04-01 00:16:01|   377.80000|   377.81100|   377.61300|   757.73000|  1517.78800|   947.73900|  124.90500| 4369.34000|0.580 (4C +71.07)|
|00036376009|2011-04-17 03:05:00|  1086.26800|     0.00000|  1127.54200|     0.00000|     0.00000|     0.00000|    0.00000| 2231.49100|0.589 (4C +71.07)|
|00036376010|2011-04-21 00:08:27|   566.60700|     0.00000|  1278.08700|     0.00000|     0.00000|     0.00000|    0.00000| 1862.83700|0.730 (4C +71.07)|
|00036376030|2015-02-17 11:32:59|   379.26800|   379.43300|   379.33400|   760.30100|  1521.30700|  1286.60400|    9.13500| 4774.80200|0.792 (4C +71.07)|
|00080399001|2013-12-16 01:25:59|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  2246.24700|  327.45200| 1920.58400|0.801 (4C +71.07)|
|00036376076|2020-12-19 05:27:35|     0.00000|     0.00000|     0.00000|   320.94800|   297.77800|   297.75600|    1.97200|  925.19200|0.898 (4C +71.07)|
|00036376028|2014-12-17 18:33:59|   404.07000|   404.09200|   404.09200|   809.05500|  1619.10300|  1310.54500|   12.14800| 5039.78800|0.966 (4C +71.07)|
|00036376021|2011-12-27 23:33:23|   189.54600|   189.55700|   189.47900|   548.39100|   763.55500|   550.02400|    8.05300| 2474.69400|0.973 (4C +71.07)|
|00036376008|2011-04-13 04:11:00|  1093.03100|     0.00000|   939.53000|     0.00000|     0.00000|     0.00000|    0.12200| 2046.02900|1.106 (4C +71.07)|
|00036376070|2016-08-07 15:33:58|    75.55300|    75.55300|    75.55300|   152.55200|   305.54600|   347.55900|    0.00000| 1080.18100|1.140 (4C +71.07)|
|00036376026|2014-10-17 02:49:58|   757.39900|   757.48700|   757.45400|  1517.54500|  3042.48200|  2656.47300|   52.76700| 9753.99600|1.193 (4C +71.07)|
|00036376020|2011-11-12 07:05:59|     0.00000|     0.00000|     0.00000|     0.00000|  2178.35100|     0.00000|    0.00000| 2181.34300|1.256 (4C +71.07)|
|00036376015|2011-11-05 06:34:00|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  1685.75300|    5.18000| 1682.29500|1.314 (4C +71.07)|
|00036376069|2016-08-06 10:42:58|   110.53900|   110.53900|   110.56100|   221.56300|   443.54500|   389.55000|    0.00000| 1436.21900|1.349 (4C +71.07)|
|00036376002|2008-01-17 20:59:01|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   936.60700|    1.97400|  935.21400|1.358 (4C +71.07)|
|00036376067|2016-06-01 00:41:58|   255.03700|   255.09200|   255.07000|   679.42900|  1025.10200|   968.43700|    0.15700| 3539.31400|1.379 (4C +71.07)|
|00036376005|2009-01-18 06:42:59|     0.00000|     0.00000|     0.00000|     0.00000|  9118.42300|     0.00000|   37.88700| 9083.43300|1.434 (4C +71.07)|
|00035385002|2006-07-10 04:41:00|   158.11300|   158.12400|   158.05800|   317.08600|   639.07100|   370.32000|    8.94800| 1892.82800|1.441 (4C +71.07)|
|00036376019|2011-11-11 03:54:00|  2020.03900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.11300| 2023.38200|1.484 (4C +71.07)|
|00036376006|2009-12-12 20:00:00|     0.00000|     0.00000|     0.00000|     0.00000|  1000.85100|     0.00000|    0.00000| 1002.91500|1.516 (4C +71.07)|
|00036376001|2007-04-04 01:14:01|   643.70500|   643.76000|   643.70500|  1289.66000|  2571.74100|  1599.69600|  201.46000| 7395.42900|1.547 (4C +71.07)|
