|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00040615001|2010-10-15 11:35:00|   138.55100|   138.50700|   138.54000|   277.55500|   555.56300|   326.27700|    0.00000| 1625.68000| 2.939 (B2 1436+37B)|
|00040615004|2012-10-15 05:57:59|   103.76500|   103.73100|   103.78700|   206.77900|   413.77900|   325.65900|    0.00000| 1283.06200| 2.983 (B2 1436+37B)|
|00040615002|2010-10-15 14:48:00|  1756.89300|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.04500| 1758.06200| 3.065 (B2 1436+37B)|
|00040615003|2012-10-12 17:02:59|   372.96800|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  373.06900| 3.740 (B2 1436+37B)|
|00084510004|2015-09-29 03:53:58|     0.00000|     0.00000|     0.00000|  1100.13600|   937.30200|   937.26800|    0.00000| 3008.74800|17.985 (B2 1436+37B)|
|00084510002|2015-09-24 18:24:59|     0.00000|     0.00000|     0.00000|   573.21500|   565.54700|   565.53600|    0.00000| 1725.40700|19.173 (B2 1436+37B)|
|00084510007|2015-10-06 00:18:58|     0.00000|     0.00000|     0.00000|   110.90300|    99.77100|    99.78200|    0.11900|  320.92700|19.391 (B2 1436+37B)|
|00084510009|2015-10-11 07:50:58|     0.00000|     0.00000|     0.00000|   232.91600|   220.75800|   220.78000|    0.00000|  684.48700|19.409 (B2 1436+37B)|
|00084510006|2015-10-04 13:09:58|     0.00000|     0.00000|     0.00000|   347.78000|   340.52000|   340.55300|    0.11900| 1050.54600|19.499 (B2 1436+37B)|
|00084510008|2015-10-07 03:20:58|     0.00000|     0.00000|     0.00000|   114.06900|    99.78200|    99.77100|    0.12200|  323.02000|19.563 (B2 1436+37B)|
