|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset     |
|00106107013|2005-02-27 02:23:01|     0.00000|     0.00000|  1326.42200|     0.00000|     0.00000|     0.00000|  383.05100|  382.08200|17.062 (B31136+408)|
|00106107011|2005-02-26 02:19:01|     0.00000|     0.00000|  1351.94100|     0.00000|     0.00000|     0.00000|  413.79900|  382.08200|19.204 (B31136+408)|
|00106107017|2005-03-21 22:30:02|     0.00000|     0.00000|  1700.68000|     0.00000|     0.00000|     0.00000|  474.22500|  489.46500|19.427 (B31136+408)|
|00106107005|2005-02-19 03:05:01|  2426.70200|     0.00000|  5337.13200|     0.00000|     0.00000|     0.00000| 4633.81800| 5403.00300|19.515 (B31136+408)|
|00106107006|2005-02-18 23:59:01|     0.00000|  4458.94400|     0.00000|     0.00000|  5901.51000|     0.00000| 5594.69300| 7995.78600|19.571 (B31136+408)|
|00106107008|2005-02-25 21:27:01|  2068.94900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  461.30200|  439.41800|19.719 (B31136+408)|
|00106107007|2005-02-25 15:10:02|     0.00000|     0.00000|  1670.51700|     0.00000|     0.00000|     0.00000|    0.00000| 1653.89200|19.741 (B31136+408)|
|00106107009|2005-02-25 19:50:01|     0.00000|  2189.47200|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|    0.00000|19.766 (B31136+408)|
|00106107010|2005-02-25 23:03:01|     0.00000|     0.00000|   985.24000|     0.00000|     0.00000|     0.00000|  656.04800|  464.41600|19.796 (B31136+408)|
|00106107014|2005-02-27 15:18:02|     0.00000|  2099.11300|     0.00000|     0.00000|     0.00000|     0.00000|  737.88400|  539.41000|19.804 (B31136+408)|
|00106107016|2005-02-28 10:38:01|     0.00000|  1919.99300|     0.00000|     0.00000|     0.00000|     0.00000|  909.64300|  369.59600|19.814 (B31136+408)|
|00106107000|2005-02-15 02:29:08|  3837.74800|  3698.85500|  4882.19100|  3652.68100|  2896.07700|  4663.41900| 3939.37100| 9115.13100|19.942 (B31136+408)|
