|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset       |
|00040510003|2010-08-06 07:35:00|    36.77300|    36.78400|    36.78400|    73.76600|   147.77500|   113.08700|    3.03400|  466.35000| 1.659 (PKS 0420+022)|
|00040510002|2010-03-27 15:05:00|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  1681.70400|   16.74500| 1667.18700| 2.771 (PKS 0420+022)|
|00040510001|2010-03-27 10:17:00|   210.33200|   210.33200|   210.32100|   421.30300|   843.40100|   615.29500|   16.79400| 2569.38500| 3.595 (PKS 0420+022)|
|00883600001|2019-01-14 06:20:35|   966.15300|   587.11700|  2300.65100|  2891.15500|  2911.73100|  2819.55100|    0.00000|12605.35800|14.756 (PKS 0420+022)|
|00883600003|2019-01-18 13:49:34|     0.00000|     0.00000|     0.00000|     0.00000|  4866.97400|   498.35700|    0.00000| 5380.64000|14.850 (PKS 0420+022)|
|00883600004|2019-01-19 05:43:35|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  3780.93700|    0.08000| 3786.01200|15.202 (PKS 0420+022)|
|00883600005|2019-01-20 04:05:36|     0.00000|     0.00000|     0.00000|  4413.80700|     0.00000|     0.00000|    0.00000| 4422.86200|15.211 (PKS 0420+022)|
|00883600002|2019-01-15 12:47:39|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  535.60200|15.291 (PKS 0420+022)|
|00883600000|2019-01-14 02:52:47|   357.96300|   540.22700|   547.75100|   421.94300|   537.92100|   557.64800|   70.14600| 3376.69900|15.312 (PKS 0420+022)|
|00883600006|2019-01-21 07:13:34|  4572.13000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.08600| 4575.83100|16.282 (PKS 0420+022)|
