|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset     |
|00041571002|2010-09-06 15:50:48|     0.00000|     0.00000|     0.00000|     0.00000|   323.94900|     0.00000|    0.00000|  308.37900|1.593 (PKS 0446+11)|
|00036313006|2008-08-07 00:07:01|     0.00000|     0.00000|     0.00000|     0.00000|  7826.62100|     0.00000|    0.00000| 7818.41400|1.710 (PKS 0446+11)|
|00081729001|2015-12-02 07:23:58|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  1975.13500|    9.26900| 1965.33400|1.772 (PKS 0446+11)|
|00041571003|2010-10-28 07:25:26|     0.00000|     0.00000|     0.00000|     0.00000|  1043.56000|     0.00000|    0.00000| 1044.40600|1.888 (PKS 0446+11)|
|00041571001|2010-09-06 19:03:28|     0.00000|     0.00000|     0.00000|   166.88400|     0.00000|     0.00000|    0.00000|  167.98000|2.010 (PKS 0446+11)|
|00036313009|2010-04-14 03:57:00|  3193.15900|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000| 3199.29500|2.170 (PKS 0446+11)|
|00036313008|2009-04-14 23:59:00|   190.07500|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|   57.65800|2.510 (PKS 0446+11)|
|00036313002|2007-04-09 04:48:01|   204.08700|   204.08700|   204.07600|   409.09000|   822.10700|   433.19700|   10.07100| 2361.59000|2.581 (PKS 0446+11)|
|00036313005|2008-01-10 00:33:00|     0.00000|     0.00000|     0.00000|   185.47400|     0.00000|     0.00000|    0.00000|  193.58900|2.951 (PKS 0446+11)|
|00036313003|2007-04-12 00:24:01|   444.18500|   444.17400|   444.20700|   890.14700|  1782.21400|  1012.66800|   18.89900| 5192.55600|3.473 (PKS 0446+11)|
|00041571004|2010-12-26 23:56:00|   168.48400|   168.56100|   120.71100|   337.55200|   675.53500|   149.05500|    0.00000| 1667.34700|3.845 (PKS 0446+11)|
|00036313001|2007-04-07 01:29:01|    81.55500|    81.55500|    81.50000|   163.53000|   327.50100|   186.97500|   13.52600|  957.77100|3.938 (PKS 0446+11)|
|00036313004|2007-07-31 06:45:01|  1983.37700|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000| 1867.92400|4.129 (PKS 0446+11)|
|00035933001|2006-08-20 10:27:00|   396.86500|   396.89800|   396.86500|   794.83400|  1590.89200|  1066.33200|   99.88200| 4658.42400|7.270 (PKS 0446+11)|
