|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset      |
|00035384067|2011-01-29 04:27:00|    76.77800|    76.76700|    76.77800|   153.77700|   307.77400|   201.94700|    0.00000|  918.03900|0.175 (PKS 0528+134)|
|00035384098|2012-12-16 16:30:59|    92.87500|    92.87500|    92.77600|   185.78300|   372.78000|   311.22800|    0.00000| 1175.92000|0.353 (PKS 0528+134)|
|00090091002|2009-12-20 12:32:00|     0.00000|     0.00000|     0.00000|  3819.13400|     0.00000|     0.00000|    0.08100| 3822.30900|0.476 (PKS 0528+134)|
|00035384078|2011-12-04 00:57:59|    75.78500|    75.77400|    75.76300|   152.76200|   305.77700|   272.99900|    0.06500|  982.85700|0.499 (PKS 0528+134)|
|00035384079|2011-12-13 17:40:00|    77.78200|    77.77100|    77.76000|   155.76300|   311.77900|   269.51200|    0.00000|  995.39400|0.525 (PKS 0528+134)|
|00035384076|2011-11-20 02:45:00|    49.74700|    49.76900|    49.77000|    98.76700|   197.77600|   183.19100|    0.00000|  653.07600|0.555 (PKS 0528+134)|
|00035384019|2008-10-11 17:52:01|   594.47600|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  599.19100|0.579 (PKS 0528+134)|
|00035384075|2011-11-15 23:23:00|    83.77300|    83.77300|    83.77300|   167.76700|   334.76100|   300.36000|    0.08100| 1078.20300|0.607 (PKS 0528+134)|
|00035384140|2015-12-06 10:27:24|    71.78000|    71.76900|     0.00000|   144.77400|   207.16500|     0.00000|    0.00000|  511.48300|0.679 (PKS 0528+134)|
|00035384058|2010-11-20 09:16:00|   101.87800|   101.77900|   101.76800|   203.76700|   407.76600|   258.07100|    0.00000| 1200.99400|0.681 (PKS 0528+134)|
|00035384099|2012-12-23 00:51:59|    81.77600|    81.77600|    81.77600|   163.76200|   327.77700|   246.26600|    0.08500| 1010.44000|0.698 (PKS 0528+134)|
|00035384057|2010-11-13 05:18:00|   101.77900|   101.76800|   101.77900|   203.86600|   407.77700|   234.32800|    0.00000| 1178.20500|0.704 (PKS 0528+134)|
|00035384018|2008-10-09 23:59:01|  1858.99200|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000| 1654.95700|0.741 (PKS 0528+134)|
|00035384136|2015-11-08 13:48:58|    41.77100|    41.77100|    41.72600|    84.77700|   168.78200|   152.74000|    0.00000|  558.20100|0.759 (PKS 0528+134)|
|00035384073|2011-09-07 19:35:00|   126.76800|   126.77900|   126.77900|   253.76800|   507.76800|   372.70300|    0.00000| 1541.98300|0.764 (PKS 0528+134)|
|00035384003|2006-04-09 23:45:00|   353.10900|   353.12000|   353.04200|   703.07300|  1407.11700|   960.35000|   17.48700| 4210.18300|0.770 (PKS 0528+134)|
|00035384127|2014-12-21 21:42:59|    80.77200|    80.77200|    80.77200|   160.71700|   322.77900|   269.95300|    0.00000| 1020.47000|0.782 (PKS 0528+134)|
|00035384045|2009-12-10 11:41:00|    76.76700|    76.73400|    76.77800|   153.75500|   307.77400|   236.84400|    4.13600|  947.75400|0.834 (PKS 0528+134)|
|00035384059|2010-12-04 01:08:59|    91.72800|    91.77200|    91.76100|   183.75300|   367.78200|   254.96000|    0.00000| 1108.21900|0.846 (PKS 0528+134)|
|00035384035|2008-12-20 06:46:01|    86.77400|    86.77400|    86.78500|   173.75700|   347.78000|   257.83900|   13.71800| 1050.55400|0.932 (PKS 0528+134)|
|00035384048|2010-01-14 05:00:00|    91.77200|    91.78300|    91.78300|   183.76400|   367.78200|   241.66500|    0.00000| 1093.18700|0.949 (PKS 0528+134)|
|00035384017|2008-10-09 01:33:01|  1939.03600|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000| 1938.13500|0.959 (PKS 0528+134)|
|00035384072|2011-09-06 00:27:00|   113.76000|   113.78300|   113.77100|   227.77500|   455.78100|  2414.00300|    0.03100| 3467.57200|1.002 (PKS 0528+134)|
|00080983002|2019-01-29 23:56:34|    29.97600|     0.00000|     0.00000|   529.01700|     0.00000|     0.00000|    7.14200|  411.17000|1.216 (PKS 0528+134)|
|00035384051|2010-02-25 23:16:00|    96.75900|    96.77000|    96.77000|   193.76000|   387.76300|   245.47100|    2.04400| 1140.52000|1.236 (PKS 0528+134)|
|00035384014|2008-09-30 15:17:01|   155.32100|   155.32100|   155.31000|   311.31600|   623.29400|   374.62300|    0.00000| 1797.70300|1.265 (PKS 0528+134)|
|00035384029|2008-10-31 20:55:01|     0.00000|     0.00000|     0.00000|  1112.82400|     0.00000|     0.00000|    0.00000| 1114.86500|1.282 (PKS 0528+134)|
