|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset       |
|00049684013|2018-06-07 07:11:57|   306.19700|    58.77200|    58.78300|   117.76500|   235.77300|   182.59500|    0.00000|  985.34200| 0.286 (PKS 2149-306)|
|00049684008|2017-03-27 21:17:57|    52.78100|    52.77000|    52.78100|   105.76200|   212.78100|   134.40300|    0.00000|  636.84700| 0.314 (PKS 2149-306)|
|00049684018|2019-04-11 04:13:34|  1292.90400|    59.77600|    59.77600|   201.15200|   241.77500|   182.90400|    0.07300| 2065.96700| 0.657 (PKS 2149-306)|
|00031404006|2009-05-23 19:11:00|   250.31500|   250.29300|   250.30400|   501.31400|  1003.31200|   703.87800|   10.16100| 3018.77000| 0.685 (PKS 2149-306)|
|00049684002|2014-03-28 00:23:59|  1067.22500|    90.77900|    90.76800|   182.76000|   816.83300|   249.43200|    0.00000| 2569.09900| 0.756 (PKS 2149-306)|
|00031404015|2014-04-18 14:44:58|   529.06200|   529.01800|   529.09500|  1056.06000|  2116.11400|  1509.61200|    0.00000| 6371.04000| 0.819 (PKS 2149-306)|
|00049684009|2017-08-05 10:17:58|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   244.02600|    0.00000|  245.70700| 0.879 (PKS 2149-306)|
|00031404010|2011-05-07 20:24:59|   333.76800|   288.57700|   333.76800|     0.00000|     0.00000|     0.00000|    0.00000|  967.81300| 0.934 (PKS 2149-306)|
|00049684019|2019-04-13 06:57:35|    44.78300|    44.87100|    44.77200|    90.76800|   181.87800|   128.77600|    0.00000|  561.62900| 1.085 (PKS 2149-306)|
|00031404009|2010-05-11 06:02:00|     0.00000|     0.00000|     0.00000|  3530.00400|     0.00000|     0.00000|    0.28500| 3535.89200| 1.097 (PKS 2149-306)|
|00031404008|2010-05-11 18:48:00|   433.77000|   388.95400|   433.78100|     0.00000|     0.00000|     0.00000|    0.00000| 1268.05600| 1.129 (PKS 2149-306)|
|00049684014|2018-06-21 06:10:56|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   137.66900|    0.00000|  137.89200| 1.283 (PKS 2149-306)|
|00031404002|2009-04-29 13:48:11|   232.08800|   174.08800|   108.54200|   465.04900|   471.98800|   301.64000|   23.93200| 1797.76900| 1.508 (PKS 2149-306)|
|00031404007|2009-05-29 18:11:30|   237.09700|   237.09700|   212.60400|   475.05500|   951.10400|   406.90500|   14.30200| 2595.02300| 1.604 (PKS 2149-306)|
|00049684021|2019-04-23 22:05:36|    52.75900|    52.72600|    52.72600|   106.76600|   212.78100|   169.21200|    0.00000|  671.95000| 1.610 (PKS 2149-306)|
|00049684006|2016-03-25 00:30:58|  1058.93900|    84.72200|    84.76600|   170.76800|  1450.00100|   247.57900|    0.00000| 3124.94700| 1.635 (PKS 2149-306)|
|00049684003|2014-09-30 00:33:58|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   600.77600|    0.00900|  601.73700| 2.107 (PKS 2149-306)|
|00035242001|2005-12-10 00:47:01|   254.36400|   170.06100|   254.30900|   509.31300|  1347.70400|   764.35000|   23.86800| 3350.27000| 2.157 (PKS 2149-306)|
|00031404012|2011-11-10 09:32:00|  1067.32500|  1112.49300|  1067.29200|     0.00000|     0.00000|     0.00000|    0.00000| 3286.44500| 2.210 (PKS 2149-306)|
|00049684011|2017-10-23 17:54:57|     0.00000|     0.00000|     0.00000|     0.00000|   261.52400|     0.00000|    0.00000|  263.20300| 2.269 (PKS 2149-306)|
|00049684015|2018-06-22 06:04:56|   574.21900|     0.00000|     0.00000|   755.79900|     0.00000|     0.00000|    0.09900| 1333.84900| 2.337 (PKS 2149-306)|
|00031404005|2009-05-14 00:39:00|   248.89200|   248.84700|   248.89200|   498.86500|   998.85400|   600.37800|   16.25100| 2946.86700| 2.379 (PKS 2149-306)|
|00049684005|2014-10-15 20:59:59|     0.00000|     0.00000|     0.00000|     0.00000|   140.69200|     0.00000|    0.00000|  142.90700| 2.386 (PKS 2149-306)|
|00049684001|2013-10-22 20:35:59|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|    0.00000| 2.420 (PKS 2149-306)|
|00031404003|2009-05-05 14:20:59|   235.27700|   235.32100|   235.32100|   471.39200|   943.31400|   731.57100|   10.18400| 2915.97300| 2.440 (PKS 2149-306)|
|00049684017|2019-04-10 20:06:35|     0.00000|     0.00000|     0.00000|   358.64700|     0.00000|     0.00000|    0.04700|  361.04300| 2.598 (PKS 2149-306)|
|00035242002|2005-12-13 20:13:02|   193.33000|   121.85900|   193.31900|   384.31000|   772.31500|   578.34600|   31.84500| 2264.66800| 2.859 (PKS 2149-306)|
|00031404001|2009-04-23 18:11:59|   257.08900|   254.70600|   257.11100|   515.08300|  1031.10300|   749.01400|   27.09900| 3128.86200| 2.876 (PKS 2149-306)|
|00049684007|2016-07-05 11:49:57|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   323.30900|    0.00000|  323.46100| 2.920 (PKS 2149-306)|
|00049684016|2018-07-13 17:55:57|   352.73300|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  353.19900| 2.938 (PKS 2149-306)|
|00031404011|2011-05-07 22:01:59|   906.37600|     0.00000|     0.00000|     0.00000|  1086.44500|     0.00000|    0.11600| 1995.67800| 3.051 (PKS 2149-306)|
|00049684012|2017-12-16 22:34:38|     0.00000|     0.00000|     0.00000|   291.96400|     0.00000|     0.00000|    0.00000|  293.01700| 3.130 (PKS 2149-306)|
|00031404013|2013-12-16 11:58:59|   135.78200|   135.76000|   135.77100|   270.77000|   542.77500|  5845.48300|    0.22800| 7138.01600| 3.255 (PKS 2149-306)|
|00049684010|2017-09-13 10:27:57|     0.00000|     0.00000|     0.00000|     0.00000|   143.83600|     0.00000|    0.00000|  145.41400| 4.219 (PKS 2149-306)|
|00049684004|2014-10-11 13:26:59|     0.00000|     0.00000|     0.00000|     0.00000|   148.42600|     0.00000|    0.00000|  150.42900| 4.375 (PKS 2149-306)|
|00031404014|2013-12-17 00:36:59|    72.77300|    72.77300|    72.77300|   146.77100|   292.88000|   198.93500|    0.00000|  882.56500| 4.466 (PKS 2149-306)|
|00091497002|2012-09-05 11:08:59|     0.00000|     0.00000|     0.00000|  1871.43700|     0.00000|     0.00000|    0.00000| 1877.96200| 7.707 (PKS 2149-306)|
|00091497001|2012-09-03 10:42:59|     0.00000|     0.00000|     0.00000|     0.00000|  1952.14300|     0.00000|    0.05200| 1956.04500| 9.204 (PKS 2149-306)|
|00090286001|2010-04-16 00:29:00|     0.00000|     0.00000|     0.00000|   862.60900|   971.29400|     0.00000|   16.59000| 1664.50000|11.028 (PKS 2149-306)|
