|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset        |
|00087233007|2017-05-24 07:17:57|     0.00000|   963.75900|  1054.52600|     0.00000|     0.00000|     0.00000|    0.10800| 2038.42500|0.052 (PMN J0124-0624)|
|00087233011|2017-06-01 06:27:57|     0.00000|   592.88700|  1580.89600|     0.00000|     0.00000|     0.00000|    0.00000| 2198.86900|0.654 (PMN J0124-0624)|
|00087233009|2017-05-26 00:42:57|     0.00000|  2310.13900|  2754.25800|     0.00000|     0.00000|     0.00000|    0.01400| 5134.16500|0.978 (PMN J0124-0624)|
|00087233004|2017-02-15 12:00:57|     0.00000|   436.10900|   440.76500|     0.00000|     0.00000|     0.00000|    0.00000|  885.07300|1.504 (PMN J0124-0624)|
|00041719001|2010-11-22 01:02:00|    91.77200|    91.77200|    91.77200|   183.76400|   367.77100|   258.01600|    0.00000| 1110.73400|2.073 (PMN J0124-0624)|
|00087233006|2017-02-20 05:10:57|     0.00000|   105.61800|   125.76400|     0.00000|     0.00000|     0.00000|    0.00000|  238.01000|2.291 (PMN J0124-0624)|
|00087233003|2017-02-12 08:55:57|     0.00000|  1449.05200|  1478.29000|     0.00000|     0.00000|     0.00000|    0.00000| 2952.32800|2.692 (PMN J0124-0624)|
|00087233008|2017-05-25 07:17:13|     0.00000|  1234.29700|  1910.91300|     0.00000|     0.00000|     0.00000|    0.14500| 3181.40200|2.721 (PMN J0124-0624)|
|00087233012|2017-06-02 06:24:57|     0.00000|  1195.25100|  1331.83900|     0.00000|     0.00000|     0.00000|    0.12100| 2571.23000|2.782 (PMN J0124-0624)|
|00087233010|2017-05-31 00:15:57|     0.00000|   200.89800|   238.77400|     0.00000|     0.00000|     0.00000|    0.00000|  448.03900|2.997 (PMN J0124-0624)|
|00087233013|2017-06-04 01:29:57|     0.00000|  1227.92000|  1370.18900|     0.00000|     0.00000|     0.00000|    0.03400| 2632.64100|3.123 (PMN J0124-0624)|
|00087233005|2017-02-16 00:47:57|     0.00000|   106.11500|   108.76300|     0.00000|     0.00000|     0.00000|    0.00000|  223.02900|3.460 (PMN J0124-0624)|
|00087233001|2017-02-08 23:58:57|     0.00000|   572.37700|   602.56300|     0.00000|     0.00000|     0.00000|    0.00000| 1176.25000|3.572 (PMN J0124-0624)|
|00087233002|2017-02-11 23:29:57|     0.00000|   487.22500|   495.76400|     0.00000|     0.00000|     0.00000|    0.00000|  992.88800|5.592 (PMN J0124-0624)|
