|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset    |
|00032563001|2012-09-19 18:17:43|   159.77900|   159.76800|   319.76700|   319.76700|   639.77700|   369.76800|    0.00000| 1995.81100|0.287 (S3 0458-02)|
|00085492007|2014-12-30 05:13:59|   684.10700|   775.11800|   684.08500|     0.00000|     0.00000|     0.00000|    0.03200| 2190.56100|0.545 (S3 0458-02)|
|00032563010|2015-08-28 03:25:57|   192.52400|   192.48000|   192.49100|   740.50800|   960.54800|   651.82500|    0.06600| 2986.17800|0.644 (S3 0458-02)|
|00032563007|2014-02-28 13:27:03|   539.77500|   141.33200|     0.00000|  2785.32700|     0.00000|     0.00000|    0.00000| 3484.74600|0.818 (S3 0458-02)|
|00085492002|2014-12-09 15:21:59|   268.53000|   274.64200|   268.59600|     0.00000|     0.00000|     0.00000|    0.01900|  834.02800|0.923 (S3 0458-02)|
|00036764002|2007-08-10 19:09:17|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   524.93500|    0.00000|  526.52300|0.937 (S3 0458-02)|
|00085492003|2014-12-15 06:11:59|   243.54100|   236.65600|   243.54100|     0.00000|     0.00000|     0.00000|    0.05400|  747.14900|0.985 (S3 0458-02)|
|00036764005|2008-04-20 07:17:01|  2365.42600|     0.00000|     0.00000|     0.00000|  2358.87200|     0.00000|    0.00000| 4729.60200|1.051 (S3 0458-02)|
|00036370007|2011-09-01 15:46:01|   136.77500|   136.77500|   136.77500|   273.77100|  2123.04300|   424.42500|    0.00000| 3259.48500|1.135 (S3 0458-02)|
|00032563009|2014-03-06 00:32:59|   588.56200|   294.54600|   180.22300|  1472.53100|     0.00000|     0.00000|    0.01200| 2574.88800|1.150 (S3 0458-02)|
|00036370005|2010-09-06 17:27:08|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   72.38800|    0.00000|1.168 (S3 0458-02)|
|00036370008|2011-09-05 13:07:00|   118.76900|   118.76900|   118.78000|   237.77000|   475.78400|   390.97400|    0.00000| 1486.82500|1.456 (S3 0458-02)|
|00085492006|2014-12-28 22:49:59|   197.78700|   191.68600|   197.75400|     0.00000|     0.00000|     0.00000|    0.00000|  597.90300|1.506 (S3 0458-02)|
|00085492005|2014-12-26 03:51:59|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   62.82000|    0.00000|1.581 (S3 0458-02)|
|00032563004|2012-10-09 02:00:59|   632.55000|   691.83000|   632.53900|     0.00000|     0.00000|     0.00000|    0.00000| 1970.72600|1.673 (S3 0458-02)|
|00036370001|2007-03-22 23:59:00|   307.90700|   307.88500|   307.89600|   616.81700|  1234.86000|   801.46400|   15.22500| 3565.75300|1.734 (S3 0458-02)|
|00036370004|2009-04-22 00:29:59|   599.18700|   599.26400|   108.55300|  1200.15000|  1889.90600|   266.51100|    0.00000| 4807.67200|1.908 (S3 0458-02)|
|00032563003|2012-10-02 17:20:59|   650.56700|   630.27800|   650.54500|     0.00000|     0.00000|     0.00000|    0.00000| 1955.68600|1.964 (S3 0458-02)|
|00036370006|2010-09-06 20:39:47|     0.00000|     0.00000|     0.00000|     0.00000|   380.43700|     0.00000|    0.00000|  383.59900|1.965 (S3 0458-02)|
|00032563002|2012-09-26 18:39:59|   198.53700|   198.54800|   198.55900|   397.54900|   795.55100|   555.33100|    0.00000| 2394.45800|1.977 (S3 0458-02)|
|00032563006|2012-10-23 05:48:59|   687.55000|   616.12200|   687.53900|     0.00000|     0.00000|     0.00000|    0.00000| 2016.33000|2.288 (S3 0458-02)|
|00032563011|2015-08-30 14:20:58|   219.55500|   219.51100|   219.54400|   438.54800|   878.55100|   717.17300|    0.00000| 2747.99000|2.411 (S3 0458-02)|
|00036370002|2007-04-10 00:14:01|   564.98500|   565.15000|   565.02900|  1145.01800|  2289.01100|  1429.11600|   46.95600| 6822.25800|2.560 (S3 0458-02)|
|00036370003|2008-10-26 17:46:01|   342.74900|   342.76000|   342.71600|   687.66000|  1377.71400|   681.93400|    0.00000| 3987.63000|2.644 (S3 0458-02)|
|00032563005|2012-10-16 16:43:59|   743.54100|   801.02300|   743.51900|     0.00000|     0.00000|     0.00000|    0.09100| 2311.72400|2.764 (S3 0458-02)|
|00036764004|2008-01-13 05:39:01|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|   247.55700|    0.00000|  248.21500|2.765 (S3 0458-02)|
|00036764006|2008-04-22 00:41:01|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|  3779.81300|    0.00000| 3826.11700|2.945 (S3 0458-02)|
|00032563008|2014-03-02 22:56:59|   610.31900|   306.32900|   365.34400|  1528.29100|     0.00000|     0.00000|    0.00000| 2863.33400|3.265 (S3 0458-02)|
|00085492004|2014-12-19 10:41:58|   207.77200|   176.82500|   207.76100|     0.00000|     0.00000|     0.00000|    0.00000|  603.19800|4.633 (S3 0458-02)|
|00036764001|2007-08-08 23:25:01|  1577.79600|     0.00000|     0.00000|     0.00000|  1282.74200|     0.00000|    0.00000| 2863.84000|4.732 (S3 0458-02)|
