|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset    |
|00032098002|2011-09-23 06:26:00|  1141.12400|     0.00000|     0.00000|  1227.66600|     0.00000|     0.00000|    0.27700| 2383.32100|0.489 (S5 0212+73)|
|00675784000|2016-02-24 13:28:28|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|    0.00000|1.375 (S5 0212+73)|
|00080906001|2016-02-24 10:48:58|   130.87200|   130.77300|   130.76200|   262.77100|   525.78500|  5581.76400|   30.90400| 6760.23400|1.376 (S5 0212+73)|
|00032098001|2011-09-22 23:59:00|   635.09900|   535.15200|   635.05500|     0.00000|     0.00000|     0.00000|    0.00000| 1520.02900|1.546 (S5 0212+73)|
|00032098003|2011-09-27 06:35:01|     0.00000|     0.00000|     0.00000|   173.49300|     0.00000|     0.00000|    0.14700|  173.18600|1.770 (S5 0212+73)|
|00035241001|2005-12-01 03:46:01|   402.88900|   319.63500|   402.80100|   806.87100|  1618.72800|  1212.86000|   29.08200| 4914.27600|3.669 (S5 0212+73)|
|00035241004|2010-09-10 22:25:00|     0.00000|     0.00000|     0.00000|     0.00000|   630.09000|  2408.12200|    0.00000| 3018.75900|3.902 (S5 0212+73)|
|00035241003|2006-07-19 05:15:00|    76.77800|    76.78900|    76.77800|   477.63700|   307.78500|   207.65100|   89.96300| 1062.84600|4.524 (S5 0212+73)|
|00035241002|2006-07-18 00:29:01|   542.31200|   542.26800|   542.15800|  1099.21000|  2201.35500|  1393.71200|   62.67200| 6511.35900|4.699 (S5 0212+73)|
|00035241005|2010-09-09 23:58:59|   407.54500|   335.96300|   407.52300|     0.00000|     0.00000|     0.00000|    0.00000|  999.43700|5.044 (S5 0212+73)|
