|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset                   |
|00083868001|2018-12-23 16:35:36|    85.78100|    85.78100|    85.75900|   171.74900|   344.77900|   242.36000|    0.00000| 1043.03500| 2.797 (SDSS J100326.63+020455.6)|
|00080651001|2014-01-16 08:18:58|   105.78400|   105.78400|   105.77300|   212.77000|  1011.28900|   307.57600| 1878.17000|    0.00000| 8.321 (SDSS J100326.63+020455.6)|
|00080649001|2014-01-14 21:26:59|    95.76600|    95.77700|    95.77700|   968.70100|   382.72100|   251.92600|  790.54900| 1125.89200|11.019 (SDSS J100326.63+020455.6)|
|00080653001|2014-01-17 00:35:59|   110.78200|   110.77100|   110.78200|   222.78800|   444.77000|   963.19600|    7.15400| 1981.27700|11.789 (SDSS J100326.63+020455.6)|
|00080655001|2014-01-22 16:27:59|   102.77200|   102.78300|   102.78300|   843.63200|   412.77500|   267.79100|    3.92500| 1854.05900|13.740 (SDSS J100326.63+020455.6)|
|00080652001|2014-01-16 21:13:58|     0.00000|     0.00000|     0.00000|     0.00000|    76.27100|     0.00000|    1.97000|   75.21000|14.982 (SDSS J100326.63+020455.6)|
|00080647001|2014-01-13 10:15:59|    74.77000|    74.78100|    74.78100|   149.77200|   299.78600|  1193.48600|   80.81100| 1810.26500|15.361 (SDSS J100326.63+020455.6)|
|00080648001|2014-01-14 00:34:58|   100.77500|   100.77500|   100.77500|   955.72700|   403.78300|   290.38600|    9.44500| 1967.35000|15.752 (SDSS J100326.63+020455.6)|
|00080652002|2014-01-21 02:17:58|   109.55700|   109.55700|   109.54600|   218.54000|   437.54400|   777.58900|    8.04400| 1802.91400|16.156 (SDSS J100326.63+020455.6)|
|00080650001|2014-01-15 10:17:59|  1000.17800|    75.78500|    75.77400|   151.76900|   304.77300|   236.88800|   13.65900| 1857.90400|16.914 (SDSS J100326.63+020455.6)|
|00080657001|2014-01-23 21:17:58|   693.81600|   134.76700|   134.77800|   269.75500|   539.78600|   372.89100|    9.27100| 2161.27600|18.554 (SDSS J100326.63+020455.6)|
|00080657002|2014-02-21 20:14:58|    86.77400|    86.77400|    86.76300|   174.78400|   760.25600|   243.07700|   10.34900| 1454.02500|19.377 (SDSS J100326.63+020455.6)|
