|obsid      |start_time         |uvot_expo_uu|uvot_expo_bb|uvot_expo_vv|uvot_expo_w1|uvot_expo_w2|uvot_expo_m2|xrt_expo_wt|xrt_expo_pc|_Search_Offset                  |
|00087230015|2017-05-09 04:12:57|     0.00000|   331.25200|   314.76900|     0.00000|     0.00000|     0.00000|    0.15100|  654.40100|0.598 (SDSS J145059.99+520111.7)|
|00087230014|2017-04-29 19:36:57|     0.00000|   103.26800|    89.76400|     0.00000|     0.00000|     0.00000|    0.00000|  203.08300|0.630 (SDSS J145059.99+520111.7)|
|00087230009|2017-03-05 01:39:58|     0.00000|   182.79300|   192.54700|     0.00000|     0.00000|     0.00000|    0.15300|  391.07600|0.649 (SDSS J145059.99+520111.7)|
|00087230011|2017-03-29 20:46:57|     0.00000|   132.80300|   131.76600|     0.00000|     0.00000|     0.00000|    0.00000|  273.10700|1.090 (SDSS J145059.99+520111.7)|
|00087230010|2017-03-12 02:41:57|     0.00000|     0.00000|    82.36100|     0.00000|     0.00000|     0.00000|    0.00000|   82.73200|1.160 (SDSS J145059.99+520111.7)|
|00087230003|2016-12-24 07:47:57|     0.00000|   498.26900|   577.28700|     0.00000|     0.00000|     0.00000|    0.00000| 1099.14500|1.426 (SDSS J145059.99+520111.7)|
|00087230001|2016-12-16 05:09:58|     0.00000|  1025.62000|  1122.40100|     0.00000|     0.00000|     0.00000|    0.00000| 2176.31900|1.458 (SDSS J145059.99+520111.7)|
|00087230007|2017-01-02 00:35:57|     0.00000|  1748.01100|  1805.83500|     0.00000|     0.00000|     0.00000|    0.06800| 3596.38000|1.576 (SDSS J145059.99+520111.7)|
|00087230005|2016-12-29 23:11:58|     0.00000|   417.77200|   410.76700|     0.00000|     0.00000|     0.00000|    0.04100|  837.43600|1.602 (SDSS J145059.99+520111.7)|
|00087230004|2016-12-28 04:20:58|     0.00000|   547.71800|   625.07000|     0.00000|     0.00000|     0.00000|    0.20600| 1205.57000|1.806 (SDSS J145059.99+520111.7)|
|00087230002|2016-12-21 23:58:58|     0.00000|   495.80800|   616.06700|     0.00000|     0.00000|     0.00000|    0.09300| 1097.08900|2.128 (SDSS J145059.99+520111.7)|
|00087230006|2016-12-31 08:48:58|     0.00000|  2199.98600|  2256.55200|     0.00000|     0.00000|     0.00000|    0.13500| 4508.24800|2.321 (SDSS J145059.99+520111.7)|
|00087230012|2017-04-03 08:58:56|     0.00000|    94.29800|   101.76800|     0.00000|     0.00000|     0.00000|    0.00000|  188.03900|2.369 (SDSS J145059.99+520111.7)|
|00039223001|2020-06-28 00:35:36|   234.04100|     0.00000|     0.00000|     0.00000|     0.00000|     0.00000|    0.00000|  235.67800|2.377 (SDSS J145059.99+520111.7)|
|00087230013|2017-04-19 19:16:57|     0.00000|   148.80100|   145.75600|     0.00000|     0.00000|     0.00000|    0.00000|  303.02500|4.819 (SDSS J145059.99+520111.7)|
