Assoc_name,"RA,Dec",Observation
87GB 145232.0+493854,"223.5246,49.4589",False
PKS 1318-263,"200.3318,-26.6996",False
SDSS J105707.47+551032.2,"164.3183,55.1804",False
S3 2214+30,"334.2024,31.059",False
PKS 0549-575,"87.5847,-57.5536",False
GB6 J0742+4900,"115.5361,49.0428",False
SDSS J100326.63+020455.6,"150.8627,2.0877",False
SDSS J120542.82+332146.9,"181.4595,33.3546",False
PMN J1402-3334,"210.6652,-33.5045",False
TXS 1322+479,"201.2398,47.8086",False
MG4 J162750+4802,"246.8492,47.9822",False
OF 200,"60.8391,26.0206",False
B2 2112+28B,"318.7165,28.5222",False
PKS B2224+006,"336.7125,0.8622",False
PMN J0743-5619,"115.7698,-56.3768",False
CRATES J113903+403303,"174.7637,40.5617",False
PKS 0420+022,"65.7022,2.4276",False
SDSS J000359.23+084138.1,"1.0073,8.6757",False
PKS 1348+007,"207.757,0.4873",False
B3 0803+452,"121.6284,45.0605",False
PMN J0625-5438,"96.4523,-54.6919",False
PMN J0134-3843,"23.5887,-38.7085",False
TXS 2321-065,"350.9157,-6.2953",False
PKS 0205-010,"32.135,-0.7768",False
B3 1520+437,"230.4645,43.6344",False
PMN J0124-0624,"21.2178,-6.4328",False
GB1 1155+486,"179.6365,48.4161",False
PKS 2245-328,"342.1928,-32.5926",False
MG1 J173624+0632,"264.1747,6.475",False
TXS 0036-099,"9.7556,-9.7828",False
PKS 1430-178,"218.2535,-18.0196",False
PKS B1112-080,"168.6421,-8.3224",False
OX 110,"317.1476,14.5812",False
OM 127,"169.7655,12.5866",False
PKS B1043-291,"161.4684,-29.4795",False
B2 0242+23,"41.3545,24.1498",False
S5 0212+73,"34.3533,73.8804",True
TXS 2315+189,"349.5568,19.256",False
4C +13.14,"37.9616,13.3692",False
GB6 J1722+6105,"260.6624,61.0734",False
PMN J2227+0037,"336.9843,0.6166",False
TXS 1645+635,"251.4051,63.4958",False
S5 1053+70,"164.2076,70.2019",False
PKS 2022+031,"306.3085,3.2893",False
PKS B1149-084,"178.0808,-8.6663",False
PMN J0157-4614,"29.4353,-46.2431",False
SDSS J145059.99+520111.7,"222.7239,52.028",False
1RXS J032342.6-011131,"50.9387,-1.1903",False
87GB 080551.6+535010,"122.3791,53.6876",True
MG2 J153938+2744,"234.9019,27.7277",False
PMN J1959-4246,"299.7963,-42.7852",False
PKS 0437-454,"69.7447,-45.3584",False
PKS 0528+134,"82.7364,13.5402",True
PMN J2135-5006,"323.8362,-50.1015",False
TXS 0322+222,"51.4421,22.4326",True
87GB 105148.6+222705,"163.6279,22.1913",False
PKS 0227-369,"37.3877,-36.7388",True
B2 1436+37B,"219.7402,37.1752",False
NVSS J090226+205045,"135.6172,20.8503",False
PMN J1344-1723,"206.0601,-17.3978",False
PKS 0446+11,"72.2823,11.3569",True
OX 131,"320.2598,19.0324",False
PKS 2149-306,"327.9655,-30.46",True
PKS 0601-70,"90.2958,-70.5895",False
PKS 0226-559,"37.0854,-55.7931",False
S4 0917+44,"140.2291,44.699",False
PKS 1329-049,"203.0196,-5.1611",True
87GB 141615.9+355650,"214.6229,35.7192",False
S3 0458-02,"75.3023,-1.9749",True
4C +71.07,"130.3418,70.8887",True
4C +01.02,"17.1695,1.5819",False
