Assoc_name,Observation
87GB 145232.0+493854,False
PKS 1318-263,False
SDSS J105707.47+551032.2,True
S3 2214+30,False
PKS 0549-575,True
GB6 J0742+4900,False
SDSS J100326.63+020455.6,True
SDSS J120542.82+332146.9,True
PMN J1402-3334,True
TXS 1322+479,True
MG4 J162750+4802,MG4 J162750+4802
OF 200,True
B2 2112+28B,False
PKS B2224+006,True
PMN J0743-5619,False
CRATES J113903+403303,True
PKS 0420+022,True
SDSS J000359.23+084138.1,True
PKS 1348+007,True
B3 0803+452,True
PMN J0625-5438,True
PMN J0134-3843,True
TXS 2321-065,False
PKS 0205-010,False
B3 1520+437,False
PMN J0124-0624,True
GB1 1155+486,GB1 1155+486
PKS 2245-328,True
MG1 J173624+0632,MG1 J173624+0632
TXS 0036-099,False
PKS 1430-178,True
PKS B1112-080,False
OX 110,True
OM 127,True
PKS B1043-291,True
B2 0242+23,True
S5 0212+73,True
TXS 2315+189,True
4C +13.14,True
GB6 J1722+6105,False
PMN J2227+0037,True
TXS 1645+635,True
S5 1053+70,True
PKS 2022+031,True
PKS B1149-084,True
PMN J0157-4614,True
SDSS J145059.99+520111.7,True
1RXS J032342.6-011131,True
87GB 080551.6+535010,True
MG2 J153938+2744,True
PMN J1959-4246,True
PKS 0437-454,True
PKS 0528+134,True
PMN J2135-5006,True
TXS 0322+222,True
87GB 105148.6+222705,True
PKS 0227-369,True
B2 1436+37B,True
NVSS J090226+205045,True
PMN J1344-1723,True
PKS 0446+11,True
OX 131,True
PKS 2149-306,True
PKS 0601-70,True
PKS 0226-559,True
S4 0917+44,True
PKS 1329-049,True
87GB 141615.9+355650,True
S3 0458-02,True
4C +71.07,True
4C +01.02,True
